Genus,ndc407,ndc408,ndc409,ndc410,ndc411,ndc412,ndc413,ndc414,ndc415,ndc416,ndc417,ndc418,ndc419,ndc420,ndc421,ndc422,ndc423,ndc424,ndc425,ndc426,ndc427,ndc428,ndc429,ndc430,ndc431,ndc432,ndc433,ndc434,ndc435,ndc436,ndc437,ndc438,ndc439,ndc440,ndc441,ndc442,ndc443,ndc444,ndc445,ndc446,ndc447,ndc448,ndc449,ndc450,ndc451,ndc452,ndc453,ndc454,ndc455,ndc456,ndc457,ndc458,ndc459,ndc460,ndc461,ndc462,ndc463,ndc464,ndc465,ndc466,ndc467,ndc468,ndc469,ndc471,ndc470,ndc472,ndc473,ndc474,ndc475
Parasutterella,15,83,35,236,647,0,318,302,129,0,0,0,269,249,189,275,204,184,9,316,33,66,0,135,112,0,22,0,223,4,1022,85,257,124,0,0,0,89,1388,952,282,8,0,147,3002,1371,47,3786,1074,241,139,0,0,222,0,230,58,0,0,762,0,27,94,193,31,180,16,392,235
Peptococcus,0,46,0,0,0,0,82,57,0,0,0,62,251,155,0,0,0,0,0,92,87,0,0,0,48,0,0,0,63,0,0,59,0,0,0,0,0,0,0,0,0,26,0,24,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,87,85,0,36,0,0,0,0,0,0
Phascolarctobacterium,502,592,314,531,372,68,620,287,2923,0,0,1621,1308,174,955,907,2077,694,0,633,1929,1550,0,1185,1434,0,487,0,2445,174,1903,1195,894,1204,0,0,0,162,631,642,608,715,0,76,1051,1521,1438,847,280,510,666,0,0,303,0,446,658,0,20,1653,1148,1079,204,365,264,192,189,914,606
Prevotella_9,114,0,0,0,0,597,0,0,0,0,0,0,0,0,0,0,0,0,315,0,756,0,0,23319,0,0,0,0,1580,0,0,0,0,0,0,64,0,1639,0,0,992,1762,204,0,0,21,0,144,24975,37,0,0,0,0,0,0,0,0,0,0,153,227,0,0,0,0,2994,0,0
Romboutsia,86,115,181,257,709,17,216,529,0,0,0,0,75,0,0,0,16,0,411,46,0,147,0,0,1119,0,62,116,0,1121,0,153,0,0,0,0,0,0,0,166,40,0,134,0,0,0,99,0,109,0,395,0,0,0,55,0,0,0,2991,0,153,572,147,244,102,448,72,311,551
Roseburia,598,8215,5561,10145,15364,253,12129,11517,0,0,0,1792,1889,299,1437,473,0,1442,479,5426,455,2280,0,481,263,10,3748,342,1522,21,4138,293,1993,2806,0,0,0,357,2582,507,1172,793,0,222,873,0,0,13528,230,0,11,0,0,1753,0,1556,68,0,37,2142,23,1228,4938,6474,4465,4155,1104,3121,1387
Ruminiclostridium_5,180,931,1173,100,170,78,1031,1463,0,0,0,85,1585,556,813,26,0,43,1094,185,1491,886,1637,464,3156,0,252,0,924,1098,1102,278,66,94,0,1336,11747,60,71,67,580,636,0,326,96,44,1837,8,867,0,206,0,0,138,0,43,239,1975,1441,4096,2829,112,314,63,574,18,379,266,122
Ruminiclostridium_6,533,156,25,429,579,241,540,288,0,0,0,0,716,85,17,0,0,163,434,1059,914,900,0,0,740,0,0,0,1533,3,828,14,117,492,0,0,271,0,28,0,0,1144,0,0,0,0,942,0,0,0,305,0,0,17,0,223,214,67,160,2980,1148,1769,119,405,33,217,1167,111,0
Ruminiclostridium_9,42,9,14,77,76,0,91,94,0,0,0,31,15,0,0,24,0,196,246,37,2546,79,0,0,165,0,0,0,19,114,589,115,311,105,0,0,0,0,54,0,20,62,0,75,409,0,0,0,19,0,0,0,0,161,0,85,23,2,41,190,130,168,17,30,9,15,0,46,22
Ruminococcaceae_NK4A214_group,91,141,145,178,1374,143,630,337,0,0,0,371,246,21,0,0,0,256,151,289,590,517,0,176,1173,0,0,0,985,564,485,1086,167,673,0,0,0,360,0,0,169,217,0,0,0,0,0,0,392,24,50,0,0,52,0,84,444,0,736,1150,324,457,104,126,135,218,412,296,88
