Genus,ndc407,ndc408,ndc409,ndc410,ndc411,ndc412,ndc413,ndc414,ndc415,ndc416,ndc417,ndc418,ndc419,ndc420,ndc421,ndc422,ndc423,ndc424,ndc425,ndc426,ndc427,ndc428,ndc429,ndc430,ndc431,ndc432,ndc433,ndc434,ndc435,ndc436,ndc437,ndc438,ndc439,ndc440,ndc441,ndc442,ndc443,ndc444,ndc445,ndc446,ndc447,ndc448,ndc449,ndc450,ndc451,ndc452,ndc453,ndc454,ndc455,ndc456,ndc457,ndc458,ndc459,ndc460,ndc461,ndc462,ndc463,ndc464,ndc465,ndc466,ndc467,ndc468,ndc469,ndc471,ndc470,ndc472,ndc473,ndc474,ndc475
Holdemania,0,20,0,11,22,0,12,22,0,0,1846,356,140,43,61,110,77,22,24,17,86,132,33,81,20,0,0,0,31,43,59,44,13,36,0,0,0,0,14,18,0,37,0,0,57,0,15,0,95,0,42,0,0,29,0,16,0,0,17,155,12,60,0,17,11,0,0,0,0
Hungatella,0,0,0,8,0,0,0,0,0,0,0,131,461,63,495,34,0,6,15,118,1076,790,419,147,0,0,0,0,7,154,0,0,15,12,0,3769,238,0,0,73,11,121,0,16,0,0,0,0,17,0,0,0,0,0,0,7,0,53,130,131,989,0,0,0,0,0,0,0,0
Hydrogenoanaerobacterium,0,0,0,24,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,40,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,84,76,10,0,12,0,0,8,0,0
Intestinibacter,16,20,8,0,18,3,32,13,0,259,0,81,384,170,32,85,0,309,675,291,174,39,0,396,164,0,185,46,0,437,26,655,182,206,0,2407,237,0,0,122,39,146,0,294,0,0,15,2107,33,0,735,0,0,0,177,0,137,85,964,80,310,93,10,0,0,0,42,22,7
Intestinimonas,15,39,31,46,97,0,76,89,0,316,0,52,89,3,102,150,17,20,54,21,95,202,0,25,327,0,115,0,318,72,84,964,75,314,0,0,180,19,64,610,138,36,0,996,161,0,118,629,472,61,233,0,0,0,1268,54,91,130,33,2080,360,36,24,33,33,23,18,36,21
Klebsiella,0,0,0,0,0,0,0,0,366,0,0,0,0,0,65,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,328,0,0,0,0,711,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,39,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0
Lachnoclostridium,117,242,130,314,377,17,340,257,0,18146,5504,1886,634,134,520,176,0,549,84,583,571,1284,1938,1770,935,0,2892,4525,27,442,1089,345,927,913,0,6674,503,38,962,835,90,92,0,2052,1381,0,126,10179,1284,0,120,37,0,248,1471,307,421,293,627,2358,1669,16,93,79,50,64,35,147,92
Lachnospira,136,2134,695,704,1640,112,3325,2473,0,0,0,96,102,0,106,328,0,2036,32,0,43,832,0,0,0,0,0,12,32,0,729,43,756,266,0,0,81,0,85,0,39,0,0,34,0,0,19,0,162,0,0,0,0,0,0,259,0,47,0,608,25,330,1227,406,783,130,393,327,76
Lachnospiraceae_AC2044_group,5,8,7,0,10,3,0,8,0,0,0,0,0,0,0,0,0,472,89,0,26,0,0,0,0,0,0,0,0,10,7,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,15,0,0,0,0,14,7,0
Lachnospiraceae_FCS020_group,0,22,13,28,38,0,20,38,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,13,0,33,8,0,0,0,0,0,16,0,0,0,0,3,0,0,25,0,0,0,0,0,0,0,7,0,0,0,0,0,0,9,7,14,4,0,0,0
Lachnospiraceae_NC2004_group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lachnospiraceae_ND3007_group,0,205,275,258,1268,64,3051,2138,0,0,0,416,21,118,0,0,0,0,51,203,63,1918,0,17,0,0,154,0,45,0,53,0,39,36,0,0,0,44,33,0,220,0,0,0,15,0,0,0,5398,0,0,0,0,16,0,0,0,0,0,0,0,95,117,185,249,116,255,252,86
Lachnospiraceae_NK4A136_group,206,1284,1357,1647,1624,62,2251,1952,0,0,0,91,5321,3709,140,59,0,7910,251,488,844,1484,0,0,12,0,93,239,973,7,1470,38,133,446,0,293,229,97,1,74,187,271,0,183,41,0,0,214,1726,0,0,0,0,35,70,2448,0,73,0,73,496,445,560,774,509,410,219,1027,273
Lachnospiraceae_UCG-001,0,57,7,562,495,25,128,101,0,0,0,0,0,0,0,0,0,119,0,0,0,118,0,0,0,0,0,0,93,0,65,0,71,88,0,0,22,0,0,17,0,0,0,0,0,0,0,124,78,0,0,0,0,0,0,0,0,0,0,0,230,0,31,275,0,63,33,32,12
Lachnospiraceae_UCG-004,146,347,137,679,1164,10,471,388,0,0,0,328,234,110,0,0,0,345,0,521,0,0,0,0,0,0,0,0,0,0,10,0,269,0,0,0,0,0,1083,0,0,0,0,93,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,117,180,336,79,374,58,353,70
Lachnospiraceae_UCG-006,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,12,0
Lachnospiraceae_UCG-010,0,18,12,36,90,0,26,22,0,0,0,0,0,0,2,0,0,15,0,0,14,1,0,0,0,0,0,0,0,0,94,11,20,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,3,31,5,12,11,20,3,42,24
Lactobacillus,0,0,0,15,0,0,0,0,644,984,2177,0,0,0,28,141,756,19,265,0,601,794,493,252,0,9854,0,0,0,0,0,0,256,0,1585,65,31,0,0,0,0,160,2469,58,0,1171,0,43,228,395,35,1567,116,0,0,0,0,26,0,66,53,0,0,14,0,0,0,0,0
Lactococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
